ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $10,000",2019,"2019",981675,16485,"United States","01000US","united-states",0.012469694770630401
1,"$10,000 to $14,999",2019,"2019",516243,12690,"United States","01000US","united-states",0.006557559923064711
2,"$15,000 to $19,999",2019,"2019",458264,10201,"United States","01000US","united-states",0.005821083560616467
3,"$20,000 to $24,999",2019,"2019",516240,12430,"United States","01000US","united-states",0.006557521815662249
4,"$25,000 to $29,999",2019,"2019",470993,12015,"United States","01000US","united-states",0.005982773269262765
5,"$30,000 to $34,999",2019,"2019",545809,10515,"United States","01000US","united-states",0.006933121076795282
6,"$35,000 to $39,999",2019,"2019",402736,11299,"United States","01000US","united-states",0.005115740945979683
7,"$40,000 to $49,999",2019,"2019",1019693,16943,"United States","01000US","united-states",0.012952617179563935
8,"$50,000 to $59,999",2019,"2019",1257260,17766,"United States","01000US","united-states",0.015970304273127848
9,"$60,000 to $69,999",2019,"2019",1462600,19598,"United States","01000US","united-states",0.018578628946977385
10,"$70,000 to $79,999",2019,"2019",1684756,21795,"United States","01000US","united-states",0.021400558314093963
11,"$80,000 to $89,999",2019,"2019",1977761,24047,"United States","01000US","united-states",0.0251224448002208
12,"$90,000 to $99,999",2019,"2019",1651114,22653,"United States","01000US","united-states",0.020973221902885014
13,"$100,000 to $124,999",2019,"2019",4662586,36597,"United States","01000US","united-states",0.05922634707190722
14,"$125,000 to $149,999",2019,"2019",4350518,33394,"United States","01000US","united-states",0.055262313448069304
15,"$150,000 to $174,999",2019,"2019",5896683,40369,"United States","01000US","united-states",0.0749024240906259
16,"$175,000 to $199,999",2019,"2019",4528197,37313,"United States","01000US","united-states",0.057519275168751646
17,"$200,000 to $249,999",2019,"2019",8624395,52061,"United States","01000US","united-states",0.1095510970854417
18,"$250,000 to $299,999",2019,"2019",7454903,49243,"United States","01000US","united-states",0.09469566297874235
19,"$300,000 to $399,999",2019,"2019",10584277,54945,"United States","01000US","united-states",0.13444643446945642
20,"$400,000 to $499,999",2019,"2019",6286456,39093,"United States","01000US","united-states",0.07985350295056726
21,"$500,000 to $749,999",2019,"2019",7359105,38955,"United States","01000US","united-states",0.09347879199839054
22,"$750,000 to $999,999",2019,"2019",2934918,23489,"United States","01000US","united-states",0.037280700472996704
23,"$1,000,000 to $1,499,999",2019,"2019",1663399,18776,"United States","01000US","united-states",0.021129271715966933
24,"$1,500,000 to $1,999,999",2019,"2019",614045,10781,"United States","01000US","united-states",0.00779988664826113
25,"$2,000,000 or More",2019,"2019",820236,10694,"United States","01000US","united-states",0.010419021121942392
0,"Less Than $10,000",2019,"2019",2076,860.9999999999999,"Dallas, TX","16000US4819000","dallas-tx",0.009842174380952832
1,"$10,000 to $14,999",2019,"2019",582,328,"Dallas, TX","16000US4819000","dallas-tx",0.0027592222975503606
2,"$15,000 to $19,999",2019,"2019",298,345,"Dallas, TX","16000US4819000","dallas-tx",0.0014127976712543084
3,"$20,000 to $24,999",2019,"2019",744,567,"Dallas, TX","16000US4819000","dallas-tx",0.0035272532463530384
4,"$25,000 to $29,999",2019,"2019",647,411,"Dallas, TX","16000US4819000","dallas-tx",0.003067382863427978
5,"$30,000 to $34,999",2019,"2019",1041,485.00000000000006,"Dallas, TX","16000US4819000","dallas-tx",0.004935309985824614
6,"$35,000 to $39,999",2019,"2019",179,169,"Dallas, TX","16000US4819000","dallas-tx",0.0008486267891091316
